Variation ID	Chromosome	Trait	p-Value	Catalogue ID	Risk Allele	Allele Frequency	Population	Region	Genes	Platform	PubMed
rs7903146	chr10	Body mass index	3E-14	rs7903146	None	None	315,347 European ancestry individuals, 8,322 Hispanic/Latino individuals, 7,290 East Asian ancestry individuals, 3,069 African American individuals, 459 South Asian ancestry individuals	10q25.2	None	Affymetrix [at least 28613428] (imputed)	30108127
rs7903146	chr10	Type 2 diabetes	1E-347	rs7903146	None	0.291584512494863	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	10q25.2	TCF7L2	NR [5035015] (imputed)	30054458
rs7903146	chr10	Body mass index	3E-13	rs7903146	None		35,606 African American individuals, 26,048 Hispanic/Latino individuals, 22,466 Asian or Native Hawaiian ancestry individuals, 17,859 European ancestry individuals, 535 Native American individuals	10q25.2	TCF7L2	Illumina [at least 200000]	29381148
rs7903146	chr10	Body mass index	1E-18	rs7903146	None	0.31	up to 72,390 Japanese ancestry women, up to 85,894 Japanese ancestry men	10q25.2	TCF7L2	Illumina [6108953] (imputed)	28892062
rs7903146	chr10	Body mass index	9E-12	rs7903146	None	0.044	up to 72,390 Japanese ancestry women, up to 85,894 Japanese ancestry men	10q25.2	TCF7L2	Illumina [6108953] (imputed)	28892062
rs7903146	chr10	Type 2 diabetes	2E-184	rs7903146	None	0.3171	6,353 South Asian ancestry cases, 7,179 South Asian ancestry controls, 3,871 European ancestry cases, 16,427 European ancestry controls, 34,840 cases, 114,981 controls	10q25.2	TCF7L2	Affymetrix, Illumina [NR] (imputed)	28869590
rs7903146	chr10	Type 2 diabetes	1E-219	rs7903146	None	0.3171	6,353 South Asian ancestry cases, 7,179 South Asian ancestry controls, 3,871 European ancestry cases, 16,427 European ancestry controls, 34,840 cases, 114,981 controls	10q25.2	TCF7L2	Affymetrix, Illumina [NR] (imputed)	28869590
rs7903146	chr10	Type 2 diabetes	3E-23	rs7903146	None	0.2986	6,353 South Asian ancestry cases, 7,179 South Asian ancestry controls, 3,871 European ancestry cases, 16,427 European ancestry controls, 34,840 cases, 114,981 controls	10q25.2	TCF7L2	Affymetrix, Illumina [NR] (imputed)	28869590
rs7903146	chr10	Peak insulin response	7E-6	rs7903146	None		2,337 Hispanic individuals, 2,159 European ancestry individuals, 332 Pima Indian ancestry individuals	10q25.2	TCF7L2	Affymetrix, Illumina [~ 39000000] (imputed)	28490609
rs7903146	chr10	Body mass index in physically active individuals	1E-6	rs7903146	None	0.7145	1,957 African American women, 1,773 Filipino ancestry women, 305 Indian ancestry women, 67,609 European ancestry women, 1,206 African American men, 2,029 Indian ancestry men, 43,399 European ancestry men, at least 4,819 European ancestry individuals	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	28448500
rs7903146	chr10	Body mass index (joint analysis main effects and physical activity interaction)	2E-9	rs7903146	None	None	2,518 African American women, 86,278 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 55,137 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	28448500
rs7903146	chr10	Body mass index (joint analysis main effects and physical activity interaction)	2E-7	rs7903146	None	None	2,518 African American women, 86,278 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 55,137 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	28448500
rs7903146	chr10	Body mass index	5E-8	rs7903146	None	0.7145	2,518 African American women, 86,278 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 55,137 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	28448500
rs7903146	chr10	Body mass index	5E-10	rs7903146	None	0.7145	2,518 African American women, 86,278 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 55,137 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	28448500
rs7903146	chr10	Body mass index (joint analysis main effects and smoking interaction)	6E-9	rs7903146	None	0.2894	98,173 European ancestry women, 64,373 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	28443625
rs7903146	chr10	Body mass index (joint analysis main effects and smoking interaction)	4E-8	rs7903146	None	0.2894	98,173 European ancestry women, 64,373 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	28443625
rs7903146	chr10	BMI in non-smokers	7E-9	rs7903146	None	0.2894	77,279 European ancestry women, 47,280 European ancestry men, 4,856 European ancestry individuals, 8,799 African American/Afro-Caribbean ancestry women, 1,803 African American/Afro-Caribbean ancestry men, 1,020 Indian Asian ancestry women, 6,691 Indian Asian ancestry men, 1,526 Filipino ancestry women, 2,469 Hispanic/Latino ancestry women, 1,318 Hispanic/Latino ancestry men	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	28443625
rs7903146	chr10	BMI in non-smokers	7E-10	rs7903146	None	0.2894	77,279 European ancestry women, 47,280 European ancestry men, 4,856 European ancestry individuals, 8,799 African American/Afro-Caribbean ancestry women, 1,803 African American/Afro-Caribbean ancestry men, 1,020 Indian Asian ancestry women, 6,691 Indian Asian ancestry men, 1,526 Filipino ancestry women, 2,469 Hispanic/Latino ancestry women, 1,318 Hispanic/Latino ancestry men	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	28443625
rs7903146	chr10	BMI (adjusted for smoking behaviour)	1E-7	rs7903146	None	0.2894	98,173 European ancestry women, 64,373 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	28443625
rs7903146	chr10	BMI (adjusted for smoking behaviour)	1E-7	rs7903146	None	0.2894	98,173 European ancestry women, 64,373 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	28443625
rs7903146	chr10	Type 2 diabetes	1E-11	rs7903146	None	0.25	2,499 Hispanic/Latino ancestry cases, 5,247 Hispanic/Latino ancestry controls	10q25.2	TCF7L2	Illumina [NR] (imputed)	28254843
rs7903146	chr10	Clinical laboratory measurements	6E-24	rs7903146	None		17,347 European ancestry individuals	10q25.2	TCF7L2	Illumina [629274]	27897004
rs7903146	chr10	Type 2 diabetes	7E-45	rs7903146	None	None	4,040 British ancestry cases, 113,735 British ancestry controls	10q25.2	TCF7L2	NR [9288881] (imputed)	26961502
rs7903146	chr10	Body mass index	3E-13	rs7903146	None	0.28797015591893	up to 309,889 European ancestry individuals	10q25.2	None	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	26426971
rs7903146	chr10	Body mass index	1E-12	rs7903146	None	0.713	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	10q25.2	TCF7L2	Affymetrix, Illumina [2550021]	25673413
rs7903146	chr10	Body mass index	1E-11	rs7903146	None	0.713	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	10q25.2	TCF7L2	Affymetrix, Illumina [2550021]	25673413
rs7903146	chr10	Body mass index	4E-11	rs7903146	None	0.712	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	10q25.2	TCF7L2	Affymetrix, Illumina [2550021]	25673413
rs7903146	chr10	Waist circumference	4E-9	rs7903146	None	0.2866	up to 56,910 European ancestry men, up to 86,570 European ancestry women	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	25673412
rs7903146	chr10	Waist circumference	3E-8	rs7903146	None	0.2866	up to 56,910 European ancestry men, up to 86,570 European ancestry women	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	25673412
rs7903146	chr10	Hip circumference	7E-8	rs7903146	None	0.2858	up to 56,910 European ancestry men, up to 86,570 European ancestry women	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	25673412
rs7903146	chr10	Hip circumference	3E-6	rs7903146	None	0.2858	up to 56,910 European ancestry men, up to 86,570 European ancestry women	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	25673412
rs7903146	chr10	Hip circumference	2E-11	rs7903146	None	0.2858	up to 56,910 European ancestry men, up to 86,570 European ancestry women	10q25.2	TCF7L2	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	25673412
rs7903146	chr10	Type 2 diabetes	5E-44	rs7903146	None	0.3	8,284 African American cases, 15,543 African American controls	10q25.2	TCF7L2	Affymetrix, Illumina [2579389] (imputed)	25102180
rs7903146	chr10	Type 2 diabetes	4E-94	rs7903146	None	0.3	8,284 African American cases, 15,543 African American controls	10q25.2	TCF7L2	Affymetrix, Illumina [2579389] (imputed)	25102180
rs7903146	chr10	Type 2 diabetes	8E-75	rs7903146	None	0.3	12,171 European ancestry cases, 56,862 European ancestry controls, 6,952 East Asian ancestry cases, 11,865 East Asian ancestry controls, 5,561 South Asian ancestry cases, 14,458 South Asian ancestry controls, 1,804 Mexican ancestry cases, 779 Mexican ancestry controls	10q25.2	TCF7L2	Affymetrix, Illumina [2500000] (imputed)	24509480
rs7903146	chr10	Type 2 diabetes	1E-14	rs7903146	None	None	3,848 Mexican and other Latin American ancestry cases, 4,366 Mexican and other Latin American ancestry controls	10q25.2	TCF7L2	Illumina [9200000] (imputed)	24390345
rs7903146	chr10	Type 2 diabetes	2E-15	rs7903146	None	0.04	5,976 Japanese ancestry cases, 20,829 Japanese ancestry controls	10q25.2	TCF7L2	Illumina [6209637] (imputed)	23945395
rs7903146	chr10	Type 2 diabetes	9E-75	rs7903146	None	0.5	842 Punjabi Sikh ancestry cases, 774 Punjabi Sikh ancestry controls	10q25.2	TCF7L2	Illumina [1232008] (imputed)	23300278
rs7903146	chr10	Type 2 diabetes	6E-22	rs7903146	None	0.31	842 Punjabi Sikh ancestry cases, 774 Punjabi Sikh ancestry controls	10q25.2	TCF7L2	Illumina [1232008] (imputed)	23300278
rs7903146	chr10	Type 2 diabetes	3E-19	rs7903146	None	0.31	842 Punjabi Sikh ancestry cases, 774 Punjabi Sikh ancestry controls	10q25.2	TCF7L2	Illumina [1232008] (imputed)	23300278
rs7903146	chr10	Type 2 diabetes	3E-35	rs7903146	None	0.3	842 Punjabi Sikh ancestry cases, 774 Punjabi Sikh ancestry controls	10q25.2	TCF7L2	Illumina [1232008] (imputed)	23300278
rs7903146	chr10	Type 2 diabetes	2E-38	rs7903146	None	0.3	842 Punjabi Sikh ancestry cases, 774 Punjabi Sikh ancestry controls	10q25.2	TCF7L2	Illumina [1232008] (imputed)	23300278
rs7903146	chr10	Type 2 diabetes	1E-35	rs7903146	None	0.30	1,101 Indo-European ancestry cases, 1,027 Indo-European ancestry controls	10q25.2	TCF7L2	Illumina [536420]	23209189
rs7903146	chr10	Type 2 diabetes	6E-92	rs7903146	None	None	6,377 European ancestry male cases, 5,794 European ancestry female cases, 22,243 European ancestry male controls, 34,619 European ancestry female controls	10q25.2	TCF7L2	Affymetrix, Illumina [up to 2500000] (imputed)	22885922
rs7903146	chr10	Type 2 diabetes	4E-73	rs7903146	None	None	6,377 European ancestry male cases, 5,794 European ancestry female cases, 22,243 European ancestry male controls, 34,619 European ancestry female controls	10q25.2	TCF7L2	Affymetrix, Illumina [up to 2500000] (imputed)	22885922
rs7903146	chr10	Type 2 diabetes	1E-139	rs7903146	None	0.268379563153031	6,377 European ancestry male cases, 5,794 European ancestry female cases, 22,243 European ancestry male controls, 34,619 European ancestry female controls	10q25.2	TCF7L2	Affymetrix, Illumina [up to 2500000] (imputed)	22885922
rs7903146	chr10	Type 2 diabetes	4E-21	rs7903146	None	0.29	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	10q25.2	TCF7L2	NR [NR]	22693455
rs7903146	chr10	Type 2 diabetes	2E-40	rs7903146	None	0.29	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	10q25.2	TCF7L2	NR [NR]	22693455
rs7903146	chr10	Fasting blood insulin (BMI interaction)	3E-6	rs7903146	None	0.2871	Up to 51,750 European ancestry individuals	10q25.2	TCF7L2	Affymetrix, Illumina [~ 2400000] (imputed)	22581228
rs7903146	chr10	Fasting blood insulin	3E-7	rs7903146	None	0.2724	Up to 51,750 European ancestry individuals	10q25.2	TCF7L2	Affymetrix, Illumina [~ 2400000] (imputed)	22581228
rs7903146	chr10	Fasting blood glucose (BMI interaction)	2E-14	rs7903146	None	0.2886	Up to 58,074 European ancestry individuals	10q25.2	TCF7L2	Affymetrix, Illumina [~ 2400000] (imputed)	22581228
rs7903146	chr10	Fasting blood glucose	1E-9	rs7903146	None	0.2876	Up to 58,074 European ancestry individuals	10q25.2	TCF7L2	Affymetrix, Illumina [~ 2400000] (imputed)	22581228
rs7903146	chr10	Type 2 diabetes	2E-15	rs7903146	None	0.26 (EA+AA)	2,413 European ancestry cases, 2,392 European ancestry controls, 810 African American cases, 873 African American controls	10q25.2	TCF7L2	Illumina [NR]	22101970
rs7903146	chr10	Proinsulin levels	2E-20	rs7903146	None	0.30	10,701 European ancestry individuals	10q25.2	TCF7L2	Affymetrix, Illumina [~ 2500000] (imputed)	21873549
rs7903146	chr10	Glycated hemoglobin levels	1E-7	rs7903146	None	0.72	1,782 European ancestry individuals	10q25.2	TCF7L2	Illumina [256587]	20849430
rs7903146	chr10	Metabolic syndrome	7E-7	rs7903146	None	0.30	2,554 Indian Asian ancestry individuals	10q25.2	TCF7L2	Illumina [308011]	20694148
rs7903146	chr10	Type 2 diabetes	2E-51	rs7903146	None		8,130 European ancestry cases, 38,987 European ancestry controls	10q25.2	TCF7L2	Affymetrix, Illumina [2426886] (imputed)	20581827
rs7903146	chr10	Type 2 diabetes	1E-30	rs7903146	None	0.27	679 European ancestry cases, 697 European ancestry controls	10q25.2	TCF7L2	Illumina [392365]	19734900
rs7903146	chr10	Type 2 diabetes	8E-12	rs7903146	None	0.04	519 Japanese ancestry cases, 503 Japanese ancestry controls	10q25.2	TCF7L2	Illumina [482625]	19401414
rs7903146	chr10	Type 2 diabetes	9E-30	rs7903146	None	None	958 European ancestry obese cases, 955 European ancestry non-obese cases, 2,938 European ancestry controls	10q25.2	TCF7L2	Affymetrix [393453]	19056611
rs7903146	chr10	Type 2 diabetes	6E-16	rs7903146	None	None	958 European ancestry obese cases, 955 European ancestry non-obese cases, 2,938 European ancestry controls	10q25.2	TCF7L2	Affymetrix [393453]	19056611
rs7903146	chr10	Type 2 diabetes	3E-23	rs7903146	None	None	4,549 European ancestry cases, 5,579 European ancestry controls	10q25.2	TCF7L2	Affymetrix, Illumina [2202892] (imputed)	18372903
rs7903146	chr10	Type 2 diabetes	5E-8	rs7903146	None	None	201 Finland founder cases, 200 Finland founder controls, 200 Ashkenazi Jewish cases, 197 Ashkenazi Jewish controls, 99 European ancestry cases, 100 European ancestry controls	10q25.2	TCF7L2	Illumina [315917]	17668382
rs7903146	chr10	Type 2 diabetes	1E-8	rs7903146	None	0.18	1,161 European ancestry cases, 1,174 European ancestry controls	10q25.2	TCF7L2	Illumina [315635]	17463248
rs7903146	chr10	Type 2 diabetes	1E-48	rs7903146	None	0.26	1,464 European ancestry cases, 1,467 European ancestry controls	10q25.2	TCF7L2	Affymetrix [386731]	17463246
rs7903146	chr10	Type 2 diabetes	2E-10	rs7903146	None	0.30	1,399 European ancestry cases, 5,275 European ancestry controls	10q25.2	TCF7L2	Illumina [at least 313179]	17460697
rs7903146	chr10	Type 2 diabetes	2E-34	rs7903146	None	0.30	661 European ancestry cases, 614 European ancestry controls	10q25.2	TCF7L2	Illumina [392935]	17293876
rs113306148	chr10	Type 1 diabetes in high risk HLA genotype individuals (time to event)	3E-6	rs113306148	None	0.013	5,806 European ancestry children	10q26.13	PLEKHA1, MIR3941	Illumina [131847]	29310926
rs17885785	chr11	Pediatric autoimmune diseases	8E-11	rs17885785	rs17885785-T	0.2	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	11p15.5	INS	Illumina [7347414] (imputed)	26301688
rs3741208	chr11	Type 1 diabetes	2E-7	rs3741208	rs3741208-T	0.38	2,000 European ancestry cases, 3,000 European ancestry controls	11p15.5	INS	Affymetrix [NR]	17554260
rs1004446	chr11	Type 1 diabetes	3E-23	rs1004446	None	None	8,506 European ancestry cases, up to 10,596 European ancestry controls	11p15.5	IGF2AS	Affymetrix, Illumina [NR]	21829393
rs1004446	chr11	Type 1 diabetes	4E-9	rs1004446	None	0.65	467 European ancestry trios, 561 European ancestry cases, 1,143 European ancestry controls	11p15.5	INS	Illumina [543071]	17632545
rs689	chr11	Type 1 diabetes	1E-6	rs689	None	None	1,005 Han Chinese ancestry cases, 1,257 Han Chinese ancestry controls	11p15.5	INS	Illumina [787224] (imputed)	31152121
rs689	chr11	Latent autoimmune diabetes vs. type 2 diabetes	1E-18	rs689	None	0.715	2,779 European ancestry latent autoimmune diabetes cases, 10,396 European ancestry type 2 diabetes cases	11p15.5	INS	Affymetrix, Illumina [8328843] (imputed)	30254083
rs689	chr11	Type 1 diabetes	1E-100	rs689	None	0.7	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	11p15.5	INS	Illumina [135870]	25751624
rs689	chr11	Type 1 diabetes	5E-196	rs689	None	None	8,506 European ancestry cases, up to 10,596 European ancestry controls	11p15.5	INS	Affymetrix, Illumina [NR]	21829393
rs3842727	chr11	Type 1 diabetes	1E-13	rs3842727	None	0.26	1,021 African American cases, 2,928 African American controls	11p15.5	INS	Illumina [114874]	30659077
rs3842727	chr11	Type 1 diabetes in high risk HLA genotype individuals (time to event)	3E-7	rs3842727	None	0.716	5,806 European ancestry children	11p15.5	TH, INS	Illumina [131847]	29310926
rs3842727	chr11	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	6E-6	rs3842727	None	0.716	5,806 European ancestry children	11p15.5	INS, TH	Illumina [131847]	29310926
rs3842727	chr11	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	1E-7	rs3842727	None	0.716	5,806 European ancestry children	11p15.5	INS, TH	Illumina [131847]	29310926
rs4929965	chr11	Type 2 diabetes	2E-38	rs4929965	rs4929965-G	0.6152	148,726 European ancestry cases, 965,732 European ancestry controls	11p15.5	None	Affymetrix, Illumina [1198787] (imputed)	32541925
rs4929965	chr11	Type 2 diabetes	5E-57	rs4929965	rs4929965-G	0.6147	148,726 European ancestry cases, 24,646 African American cases, 8,616 Hispanic cases, 46,511 Asian ancestry cases, 965,732 European ancestry controls, 31,446 African American controls, 11,829 Hispanic controls, 169,776 Asian ancestry controls	11p15.5	None	Affymetrix, Illumina [at least 945603] (imputed)	32541925
rs4929965	chr11	Type 2 diabetes	3E-13	rs4929965	rs4929965-A	0.07999999999999996	36,614 Japanese ancestry cases, 155,150 Japanese ancestry controls	11p15.5	INS, IGF2	Illumina [12557761] (imputed)	30718926
rs4929965	chr11	Type 2 diabetes	4E-26	rs4929965	rs4929965-A	0.3829	74,124 European ancestry cases, 824,006 European ancestry controls	11p15.5	INS, IGF2	Affymetrix, Illumina [~ 27000000] (imputed)	30297969
rs72853903	chr11	Type 1 diabetes	6E-10	rs72853903	rs72853903-C	0.62	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	11p15.5	INS	Illumina [135870]	25751624
rs7111341	chr11	Type 2 diabetes	3E-11	rs7111341	None	0.2614	6,353 South Asian ancestry cases, 7,179 South Asian ancestry controls, 3,871 European ancestry cases, 16,427 European ancestry controls, 34,840 cases, 114,981 controls	11p15.5	MIR4686	Affymetrix, Illumina [NR] (imputed)	28869590
rs7111341	chr11	Body mass index	3E-6	rs7111341	None	0.266	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	11p15.5	MIR4686	Affymetrix, Illumina [2550021]	25673413
rs7111341	chr11	Type 1 diabetes	4E-48	rs7111341	None	None	7,514 European ancestry cases, 9,045 European ancestry controls	11p15.5	INS	Affymetrix, Illumina [841622] (imputed)	19430480
rs10831551	chr11	Type 1 diabetes in high risk HLA genotype individuals (time to event)	5E-6	rs10831551	rs10831551-C	0.048	5,806 European ancestry children	11p15.5	ASCL2, MIR4686	Illumina [131847]	29310926
rs2237897	chr11	Type 2 diabetes	8E-11	rs2237897	None	0.198644	8,616 Hispanic cases, 11,829 Hispanic controls	11p15.4	None	Affymetrix, Illumina [1077427] (imputed)	32541925
rs2237897	chr11	Type 2 diabetes	8E-171	rs2237897	None	0.6218	46,511 Asian ancestry cases, 169,776 Asian ancestry controls	11p15.4	None	Affymetrix, Illumina [1077427] (imputed)	32541925
rs2237897	chr11	Type 2 diabetes	2E-9	rs2237897	None	0.908	24,646 African American cases, 31,446 African American controls	11p15.4	None	Affymetrix, Illumina [945603] (imputed)	32541925
rs2237897	chr11	Type 2 diabetes	2E-226	rs2237897	None	0.7624	148,726 European ancestry cases, 24,646 African American cases, 8,616 Hispanic cases, 46,511 Asian ancestry cases, 965,732 European ancestry controls, 31,446 African American controls, 11,829 Hispanic controls, 169,776 Asian ancestry controls	11p15.4	None	Affymetrix, Illumina [at least 945603] (imputed)	32541925
rs2237897	chr11	Type 2 diabetes	2E-245	rs2237897	None	0.632	77,418 East Asian cases, 356,122 East Asian controls	11p15.4	KCNQ1	Affymetrix, Illumina [11800000] (imputed)	32499647
rs2237897	chr11	Type 2 diabetes	3E-168	rs2237897	None	0.62	36,614 Japanese ancestry cases, 155,150 Japanese ancestry controls	11p15.4	KCNQ1	Illumina [12557761] (imputed)	30718926
rs2237897	chr11	Type 2 diabetes	8E-32	rs2237897	None	0.9543	74,124 European ancestry cases, 824,006 European ancestry controls	11p15.4	KCNQ1	Affymetrix, Illumina [~ 27000000] (imputed)	30297969
rs2237897	chr11	Body mass index	2E-8	rs2237897	None		35,606 African American individuals, 26,048 Hispanic/Latino individuals, 22,466 Asian or Native Hawaiian ancestry individuals, 17,859 European ancestry individuals, 535 Native American individuals	11p15.4	KCNQ1	Illumina [at least 200000]	29381148
rs2237897	chr11	Body mass index	1E-30	rs2237897	None	0.05	up to 72,390 Japanese ancestry women, up to 85,894 Japanese ancestry men	11p15.4	KCNQ1	Illumina [6108953] (imputed)	28892062
rs2237897	chr11	Glucose homeostasis traits	7E-6	rs2237897	None		up to 4,176 Mexican American individuals	11p15.4	KCNQ1	Illumina [693128]	25524916
rs2237897	chr11	Type 2 diabetes	9E-15	rs2237897	None	None	3,848 Mexican and other Latin American ancestry cases, 4,366 Mexican and other Latin American ancestry controls	11p15.4	KCNQ1	Illumina [9200000] (imputed)	24390345
rs2237897	chr11	Type 2 diabetes	1E-16	rs2237897	None	0.34	194 Japanese ancestry cases, 1,558 Japanese ancestry controls	11p15.4	KCNQ1	Affymetrix [207097]	18711366
rs61879614	chr11	Coronary artery disease in type 1 diabetes	3E-6	rs61879614	None	0.048	434 European ancestry cases with coronary artery disease, 3,123 European ancestry cases without coronary artery disease	11p15.4	TUB	Illumina [6728637] (imputed)	29695241
rs183937294	chr11	Microalbuminuria in type 1 diabetes	2E-8	rs183937294	rs183937294-G	0.007	2,447 European ancestry cases, 12,113 European ancestry controls	11p15.1	PLEKHA7	Illumina [up to 49000000] (imputed)	31537649
rs5790666	chr11	Fulminant type 1 diabetes	8E-9	rs5790666	rs5790666-?	None	257 Japanese ancestry cases, 419 Japanese ancestry controls	11p14.1	KIF18A	Affymetrix [426851] (imputed)	30552108
rs968567	chr11	Fatty acid desaturase activity (serum)	5E-49	rs968567	None	0.15	1,453 European ancestry individuals	11q12.2	FADS2, FADS1, FADS3	Illumina [at least 738879] (imputed)	30453627
rs968567	chr11	Rheumatoid arthritis	7E-7	rs968567	None	0.18	916 African American cases, 1,392 African American controls,	11q12.2	FADS1, FADS2, FADS3	Illumina [8380626] (imputed)	30423114
rs968567	chr11	Serum metabolite ratios in chronic kidney disease	5E-14	rs968567	None	None	1,143 European ancestry cases	11q12.2	FADS2	Illumina [up to 9281895] (imputed)	29545352
rs968567	chr11	IgA levels	1E-17	rs968567	None	0.1806	16,883 Icelandic ancestry individuals	11q12.2	FADS2	Illumina [21568490] (imputed)	28628107
rs968567	chr11	Vitiligo	1E-7	rs968567	None	None	2,853 European ancestry cases and 37,405 European ancestry controls	11q12.2	FADS2	Illumina [8966411] (imputed)	27723757
rs968567	chr11	Glycerophospholipid levels	1E-18	rs968567	None	0.1587	up to 7,478 European ancestry individuals	11q12.2	FADS2, FADS1, FADS3	Affymetrix, Illumina [at least 296619] (imputed)	26068415
rs968567	chr11	Blood metabolite levels	3E-19	rs968567	None	0.18	7,824 European ancestry individuals	11q12.2	FADS1	Affymetrix, Illumina [2100000] (imputed)	24816252
rs968567	chr11	Blood metabolite levels	2E-21	rs968567	None	0.18	7,824 European ancestry individuals	11q12.2	FADS1	Affymetrix, Illumina [2100000] (imputed)	24816252
rs968567	chr11	Rheumatoid arthritis	2E-8	rs968567	None	0.83	up to 14,361 European ancestry cases, up to 42,923 European ancestry controls, up to 4,873 East Asian ancestry cases, up to 17,642 East Asian ancestry controls	11q12.2	FADS1, FADS2, FADS3	Affymetrix, Illumina [up to 9739303] (imputed)	24390342
rs968567	chr11	Metabolite levels	4E-10	rs968567	None	None	2,076 European ancestry individuals	11q12.2	FADS1	Affymetrix [at least 2500000] (imputed)	23823483
rs645078	chr11	Adolescent idiopathic scoliosis	3E-8	rs645078	None	None	196 cases, 303 controls	11q13.1	None	Affymetrix [NR]	30019117
